feature,importance
best_lap_so_far,0.25991629110116415
team_avg_lap_time,0.11999025107272447
rolling_avg_lap_time_3,0.1199684878961621
car_ahead_time,0.09997910174987888
avg_lap_so_far,0.07997178045021613
Sector2Time,0.07000398309967025
rolling_avg_lap_time_10,0.06998377673138713
leader_lap_time,0.05997906734553939
rolling_avg_lap_time_5,0.04998860846150165
rolling_std_sector1time_5,0.019992710906883957
rolling_std_lap_time_5,0.019989782168135118
speed_consistency,0.009997095992116053
rolling_std_sector2time_5,0.00999487958779105
speed_range,0.009993345037780212
Sector3Time,0.00017192152532146006
Sector1Time,6.457984765535281e-06
lap_time_percentile,5.892192667299791e-06
car_behind_time,5.663404840447973e-06
Position,5.1671376668580055e-06
worst_position_so_far,4.72425768283823e-06
gap_to_leader,4.5516569839162875e-06
position_stint_interaction,4.257485201856865e-06
rolling_avg_position_5,4.110125665809791e-06
worst_lap_so_far,3.962780719933293e-06
rolling_avg_position_3,2.9034846220731004e-06
gap_to_ahead,2.8519957336408114e-06
best_position_so_far,2.5221384465976134e-06
LapNumber,2.1872292893251296e-06
team_best_position,2.0913094818433875e-06
lap_delta,1.9513723341842965e-06
team_avg_position,1.8693400034893839e-06
speed_i1_to_fl_ratio,1.6550914924263357e-06
rolling_std_sector3time_5,1.6138328388131692e-06
min_speed,1.52913418427007e-06
SpeedFL,1.4500417064651045e-06
gap_to_teammate,1.435407006528713e-06
race_progress,1.3314863255277241e-06
tyre_age_normalized,1.2564584879950154e-06
speed_improvement,1.2151209889769703e-06
rolling_std_lap_time_3,1.1314366261676384e-06
max_speed,1.0131389200655299e-06
SpeedI2,9.997110728555097e-07
gap_to_behind,6.85665321248268e-07
TyreLife,4.1242775618502917e-07
SpeedI1,3.708346844901316e-07
driver_team_encoded,2.1746276356607903e-07
Team,2.047098732968088e-07
DriverNumber,1.9381072932558942e-07
compound_life_interaction,1.917406264110711e-07
Driver,1.8610545782051166e-07
SpeedST,1.5011705873436316e-07
compound_age_ratio,1.1108314750028376e-07
Compound,1.1079250719151458e-07
rolling_std_lap_time_10,7.718684793570969e-08
position_change,7.494602490665015e-08
fresh_tyre_numeric,3.76727393288539e-08
personal_bests_count,2.876857707990749e-08
laps_completed,2.4290532573914514e-08
laps_in_stint,1.9362163110971498e-08
pit_stop_count,1.625126991331798e-08
cumulative_position_change,5.4547015616618295e-09
race_phase_encoded,1.858505100270115e-09
Stint,1.5766850076163913e-09
